"GRID_ID","X_COORDINATE_CENTER","Y_COORDINATE_CENTER","INJURED_LEVEL1","INJURED_LEVEL2","INJURED_LEVEL3","INJURED_LEVEL4"
"11362056","28.245","41.43","0","0","0","0"
"10862142","28.675","41.18","0","0","0","0"
"10922149","28.71","41.21","0","0","0","0"
"10542249","29.21","41.02","0","0","0","0"
"10812012","28.025","41.155","0","0","0","0"
"11242042","28.175","41.37","0","0","0","0"
"10392234","29.135","40.945","3.29582178071","1.12518352886","0","0"
"10902067","28.3","41.2","0","0","0","0"
"10742242","29.175","41.12","0","0","0","0"
"10642250","29.215","41.07","0","0","0","0"
"10952180","28.865","41.225","0","0","0","0"
"10342269","29.31","40.92","0","0","0","0"
"10732084","28.385","41.115","0","0","0","0"
"10572289","29.41","41.035","0","0","0","0"
"10182261","29.27","40.84","0","0","0","0"
"11352090","28.415","41.425","0","0","0","0"
"10702036","28.145","41.1","0","0","0","0"
"10832085","28.39","41.165","0","0","0","0"
"10482260","29.265","40.99","2.46196829035","0","0","0"
"10792372","29.825","41.145","0","0","0","0"
"10602346","29.695","41.05","0","0","0","0"
"11182068","28.305","41.34","0","0","0","0"
"11162025","28.09","41.33","0","0","0","0"
"11132096","28.445","41.315","0","0","0","0"
"11032116","28.545","41.265","0","0","0","0"
"10612153","28.73","41.055","4.56801189259","0.762429211169","0","0"
"10822059","28.26","41.16","0","0","0","0"
"11002017","28.05","41.25","0","0","0","0"
"10452262","29.275","40.975","12.7883114062","4.98320118922","0","1.10677982532"
"11042142","28.675","41.27","0","0","0","0"
"10582264","29.285","41.04","0","0","0","0"
"11202027","28.1","41.35","0","0","0","0"
"10462301","29.47","40.98","0","0","0","0"
"10562236","29.145","41.03","2.54409215792","0","0","0"
"10722067","28.3","41.11","0","0","0","0"
"10512294","29.435","41.005","0","0","0","0"
"11032176","28.845","41.265","0","0","0","0"
"11122082","28.375","41.31","0","0","0","0"
"10792070","28.315","41.145","0","0","0","0"
"11072131","28.62","41.285","0","0","0","0"
"11222083","28.38","41.36","0","0","0","0"
"11062075","28.34","41.28","0","0","0","0"
"10992051","28.22","41.245","0","0","0","0"
"10502194","28.935","41","96.6459476802","57.0043270532","15.269344717","22.0134022688"
"10672328","29.605","41.085","0","0","0","0"
"11412067","28.3","41.455","0","0","0","0"
"10612187","28.9","41.055","136.491635384","74.0326635238","18.3795689685","27.459786993"
"10622031","28.12","41.06","0.604758019188","0","0","0"
"10422267","29.3","40.96","4.32303000181","0.728122215596","0","0"
"10922051","28.22","41.21","0","0","0","0"
"10482177","28.85","40.99","44.5457584424","25.8532306289","5.27302299729","9.9343381812"
"10892050","28.215","41.195","0","0","0","0"
"10642301","29.47","41.07","0","0","0","0"
"10302284","29.385","40.9","0","0","0","0"
"10852248","29.205","41.175","0","0","0","0"
"10542300","29.465","41.02","0","0","0","0"
"10922200","28.965","41.21","0","0","0","0"
"10582294","29.435","41.04","0","0","0","0"
"10772150","28.715","41.135","0","0","0","0"
"10622096","28.445","41.06","0","0","0","0"
"10482216","29.045","40.99","33.481475004","18.0961401646","3.9971049019","6.65183615346"
"10792172","28.825","41.145","0","0","0","0"
"11252038","28.155","41.375","0","0","0","0"
"10682226","29.095","41.09","0","0","0","0"
"11112044","28.185","41.305","0","0","0","0"
"11172072","28.325","41.335","0","0","0","0"
"10882296","29.445","41.19","0","0","0","0"
"11062024","28.085","41.28","0","0","0","0"
"11482028","28.105","41.49","0","0","0","0"
"11572033","28.13","41.535","0","0","0","0"
"10882198","28.955","41.19","0","0","0","0"
"10632326","29.595","41.065","0","0","0","0"
"11372052","28.225","41.435","0","0","0","0"
"11112065","28.29","41.305","0","0","0","0"
"10772027","28.1","41.135","0","0","0","0"
"10582285","29.39","41.04","0","0","0","0"
"11202129","28.61","41.35","0","0","0","0"
"10672349","29.71","41.085","0","0","0","0"
"10462173","28.83","40.98","0","0","0","0"
"10682180","28.865","41.09","6.59413203876","2.57070038813","0","0.537416044492"
"10802156","28.745","41.15","0","0","0","0"
"10982135","28.64","41.24","0","0","0","0"
"11342055","28.24","41.42","0","0","0","0"
"10942010","28.015","41.22","0","0","0","0"
"10872189","28.91","41.185","0","0","0","0"
"11162076","28.345","41.33","0","0","0","0"
"10912276","29.345","41.205","0","0","0","0"
"10662162","28.775","41.08","0","0","0","0"
"10422236","29.145","40.96","10.5742719202","4.99632382284","1.04962468181","1.1952469027"
"10942082","28.375","41.22","0","0","0","0"
"10722016","28.045","41.11","0","0","0","0"
"10782125","28.59","41.14","0","0","0","0"
"10542151","28.72","41.02","0","0","0","0"
"10462271","29.32","40.98","0","0","0","0"
"10492230","29.115","40.995","0","0","0","0"
"10212271","29.32","40.855","0","0","0","0"
"11122159","28.76","41.31","0","0","0","0"
"10892122","28.575","41.195","0","0","0","0"
"10422237","29.15","40.96","11.7148533913","5.60188719183","1.10762673889","1.82108599166"
"10772180","28.865","41.135","0","0","0","0"
"10912055","28.24","41.205","0","0","0","0"
"10352295","29.44","40.925","0","0","0","0"
"11052079","28.36","41.275","0","0","0","0"
"10272287","29.4","40.885","0","0","0","0"
"10772380","29.865","41.135","0","0","0","0"
"11262034","28.135","41.38","0","0","0","0"
"10612023","28.08","41.055","0","0","0","0"
"10712343","29.68","41.105","0","0","0","0"
"10782295","29.44","41.14","0","0","0","0"
"10402255","29.24","40.95","0","0","0","0"
"10802058","28.255","41.15","0","0","0","0"
"11222062","28.275","41.36","0","0","0","0"
"10842162","28.775","41.17","0","0","0","0"
"11342076","28.345","41.42","0","0","0","0"
"11032095","28.44","41.265","0","0","0","0"
"10472288","29.405","40.985","0","0","0","0"
"10802330","29.615","41.15","0","0","0","0"
"10732144","28.685","41.115","0","0","0","0"
"10582140","28.665","41.04","72.5750277346","36.2703515218","7.42788100237","13.051595766"
"10912204","28.985","41.205","0","0","0","0"
"10682154","28.735","41.09","0","0","0","0"
"10752098","28.455","41.125","0","0","0","0"
"10522329","29.61","41.01","0","0","0","0"
"10542171","28.82","41.02","1.69097488174","0.715340734231","0","0"
"10882045","28.19","41.19","0","0","0","0"
"10792121","28.57","41.145","0","0","0","0"
"10812326","29.595","41.155","0","0","0","0"
"10832285","29.39","41.165","0","0","0","0"
"10682057","28.25","41.09","1.24358928909","0.669255137943","0","0"
